Name,Add,Px,Py,Changetime,Picture1
白色戀人貨櫃屋,高雄市801前金區河東路189號,120.28958,22.62572,2022/11/28 17:49:46,https://khh.travel/content/images/Attractions/37413/640x480_attractions-image-yzvgxhimz0k2ryaexuocfg.jpg
高雄流行音樂中心(愛河灣),高雄市803鹽埕區真愛路1號,120.28732,22.61781,2022/11/28 17:49:44,https://khh.travel/content/images/Attractions/34272/640x480_attractions-image-jq8wdusfykat0vsghe66rq.jpg
黃埔新村,高雄市830鳳山區黃埔新村,120.36319,22.61873,2022/11/28 17:49:40,https://khh.travel/content/images/Attractions/37583/640x480_attractions-image-a90cfntnke2bxkhey-qprg.jpg
旗津沙灘吧Cijin Sunset Bar,高雄市805旗津區旗津三路1050號,120.26751,22.61006,2022/11/28 17:49:37,https://khh.travel/content/images/Attractions/20195/640x480_attractions-image-j1uusgsqauenjs0wcxviua.jpg
高雄燈塔(旗津旗后燈塔),高雄市805旗津區旗下巷34號,120.26471,22.61552,2022/11/28 17:49:36,https://khh.travel/content/images/Attractions/37660/640x480_attractions-image-45iwvloqd0scdirtojobjg.jpg
哈瑪星鐵道文化園區,高雄市804鼓山區鼓山一路32號,120.27744,22.62122,2022/11/28 17:49:33,https://khh.travel/content/images/Attractions/37430/640x480_attractions-image-jgbweu3_akeqksuyy5tv1g.jpg
舊三和銀行(新濱・駅前),高雄市804鼓山區臨海三路7號,120.27452,22.62213,2022/11/28 17:49:31,https://khh.travel/content/images/Attractions/37502/640x480_attractions-image-fb21fg8vekyrdr_yd8nu_g.jpg
哈瑪星貿易商大樓,高雄市804鼓山區臨海三路5號,120.27481,22.62208,2022/11/28 17:49:28,https://khh.travel/content/images/Attractions/37400/640x480_attractions-image-n5q6jv4-fuoobmuriqzvsq.jpg
舊打狗驛故事館,高雄市804鼓山區鼓山一路32號,120.27550,22.62170,2022/11/28 17:49:25,https://khh.travel/content/images/Attractions/37488/640x480_attractions-image-pawm5jqjouiuvjecbswbqg.jpg
西子灣觀景台（觀海平台）,高雄市804鼓山區西子灣觀景台,120.26591,22.61769,2022/11/28 17:49:22,https://khh.travel/content/images/Attractions/37404/640x480_attractions-image-iwtybstbqeitssmtrsjeww.jpg
